Arsenal items
Name;Load;Dammage;Armor;Capacity;Wood;Wheat;Stone;Iron;Gold;Crystal
CavalryLanceC;5;10;0;0;1;0;0;1;0;0
CavalrySpear;2;5;0;0;1;0;0;1;0;0
FireSword;3;10;0;0;0;0;0;5;5;5
ElectricSword;3;10;0;0;0;0;0;5;5;5

head items
NackedA;0;0;0;0;0;0;0;0;0;0
NackedB;0;0;0;0;0;0;0;0;0;0
NackedC;0;0;0;0;0;0;0;0;0;0
NackedD;0;0;0;0;0;0;0;0;0;0
NackedE;0;0;0;0;0;0;0;0;0;0
HeadbandA;0;0;0;0;0;1;0;0;0;0
HeadbandB;0;0;0;0;0;1;0;0;0;0
HeadbandC;0;0;0;0;0;1;0;0;0;0
HeadbandD;0;0;0;0;0;1;0;0;0;0
HeadbandE;0;0;0;0;0;1;0;0;0;0
HeadbandF;0;0;0;0;0;1;0;0;0;0
HoodA;0;0;0;0;0;1;0;0;0;0
HoodB;0;0;0;0;0;1;0;0;0;0
HoodC;0;0;0;0;0;1;0;0;0;0
HoodD;0;0;0;0;0;1;0;0;0;0
HoodE;0;0;0;0;0;1;0;0;0;0
ChainmailA;1;0;1;0;0;0;0;1;0;0
ChainmailB;1;0;1;0;0;0;0;1;0;0
ChainmailC;1;0;1;0;0;0;0;1;0;0
ChainmailD;1;0;1;0;0;0;0;1;0;0
ChainmailE;1;0;1;0;0;0;0;1;0;0
ChainmailF;1;0;1;0;0;0;0;1;0;0
SpangenhelmA;1;0;1;0;0;1;0;0;0;0
SpangenhelmB;1;0;1;0;0;0;0;1;0;0
SpangenhelmC;1;0;1;0;0;0;0;1;0;0
SalletA;2;0;2;0;0;0;0;1;0;0
SalletB;2;0;2;0;0;0;0;1;0;0
SalletC;2;0;2;0;0;0;0;1;0;0
SalletD;2;0;2;0;0;0;0;1;0;0
SalletE;2;0;2;0;0;0;0;1;0;0
SalletF;2;0;2;0;0;0;0;1;0;0
SalletG;2;0;2;0;0;0;0;1;0;0
HornA;2;0;2;0;0;0;0;1;0;0
SalletH;3;0;3;0;0;0;0;1;0;0
SalletI;3;0;3;0;0;0;0;1;0;0
SalletJ;2;0;2;0;0;0;0;1;0;0
HornB;0;0;0;0;0;0;0;1;0;0
HornC;0;0;0;0;0;0;0;1;0;0
BacinetA;3;0;3;0;0;0;0;1;0;0
BacinetB;3;0;3;0;0;0;0;1;0;0
BacinetC;3;0;3;0;0;0;0;2;0;0
HelmA;5;0;5;0;0;0;0;2;0;0
HornD;5;0;5;0;0;0;0;2;0;0
HelmB;5;0;5;0;0;0;0;2;0;0
HelmC;5;0;5;0;0;0;0;2;0;0
HelmD;5;0;5;0;0;0;0;2;0;0
HelmE;5;0;5;0;0;0;0;2;0;0
HornE;5;0;5;0;0;0;0;2;0;0
HelmF;5;0;5;0;0;0;0;2;0;0
HelmG;5;0;5;0;0;0;0;2;0;0
HornF;5;0;5;0;0;0;0;2;0;0
BacinetD;4;0;4;0;0;0;0;2;0;0
BacinetE;4;0;4;0;0;0;0;2;0;0
HelmK;5;0;5;0;0;0;0;1;1;0
HelmL;5;0;5;0;0;0;0;1;1;0
HelmH;0;0;0;0;0;0;0;1;1;0
HornG;5;0;5;0;0;0;0;1;1;0
HelmI;5;0;5;0;0;0;0;1;1;0
HelmJ;5;0;5;0;0;0;0;1;1;0
HornH;5;0;5;0;0;0;0;1;1;0
HornI;5;0;5;0;0;0;0;1;1;0
HatA;0;0;0;0;0;1;0;0;0;0
HatB;0;0;0;0;0;1;0;0;0;0
HatC;0;0;0;0;0;1;0;0;0;0
HatD;0;0;0;0;0;1;0;0;0;0
HatE;0;0;0;0;0;1;0;0;0;0
CrownA;1;0;1;0;0;0;0;0;1;0
CrownB;1;0;1;0;0;0;0;0;1;0
CrownC;2;0;3;0;0;0;0;1;1;0
CrownD;2;0;3;0;0;0;0;1;1;0
CrownE;5;0;6;0;0;0;0;1;2;0

body items
CivilianA;0;0;0;0;0;1;0;0;0;0
CivilianB;0;0;0;0;0;1;0;0;0;0
CivilianC;0;0;0;0;0;1;0;0;0;0
CivilianD;0;0;0;0;0;1;0;0;0;0
CivilianE;0;0;0;0;0;1;0;0;0;0
LeatherA;0;0;0;0;0;2;0;0;0;0
LeatherB;0;0;0;0;0;2;0;0;0;0
NobleA;0;0;0;0;0;2;0;0;0;0
NobleB;0;0;0;0;0;2;0;0;0;0
LeatherC;1;0;1;0;0;3;0;0;0;0
LeatherD;1;0;1;0;0;0;0;1;0;0
LightA;2;0;2;0;0;0;0;1;0;0
LightB;2;0;2;0;0;0;0;0;1;0
LightC;2;0;2;0;0;0;0;0;1;0
LightD;2;0;2;0;0;0;0;1;0;0
LightE;2;0;2;0;0;0;0;1;0;0
LightF;2;0;2;0;0;0;0;1;0;0
LightG;2;0;2;0;0;0;0;1;1;0
LightH;2;0;2;0;0;0;0;1;1;0
MediumA;3;0;3;0;0;0;0;2;0;0
MediumB;3;0;3;0;0;0;0;2;0;0
MediumC;3;0;3;0;0;0;0;1;1;0
MediumD;3;0;3;0;0;0;0;1;1;0
MediumI;3;0;3;0;0;1;0;2;0;0
MediumE;3;0;3;0;0;1;0;2;0;0
MediumF;3;0;3;0;0;1;0;2;0;0
MediumG;3;0;3;0;0;0;0;3;0;0
MediumH;3;0;3;0;0;0;0;3;0;0
HeavyA;5;0;5;0;0;0;0;2;1;0
HeavyB;5;0;5;0;0;0;0;3;1;0
HeavyC;5;0;5;0;0;0;0;3;0;0
HeavyD;5;0;5;0;0;0;0;3;0;0
HeavyE;5;0;5;0;0;0;0;3;1;0
HeavyF;5;0;5;0;0;0;0;3;1;0
HeavyG;5;0;5;0;0;0;0;3;0;0
HeavyH;5;0;5;0;0;0;0;3;0;0
HeavyI;5;0;5;0;0;0;0;3;1;0
DressA;1;0;1;0;0;3;0;0;0;0
DressB;1;0;1;0;0;3;0;0;1;0
DressC;1;0;1;0;0;3;0;0;0;0
DressD;1;0;1;0;0;3;0;0;1;0
DressE;1;0;1;0;0;3;0;0;1;0
NeckedA;0;0;0;0;0;0;0;0;0;0
NeckedB;0;0;0;0;0;0;0;0;0;0
NeckedC;0;0;0;0;0;1;0;0;0;0

horse items
HorseA;0;0;0;0;0;0;0;0;0;0
HorseB;0;0;0;0;0;0;0;0;0;0
HorseC;0;0;0;0;0;0;0;0;0;0
HorseD;0;0;0;0;0;0;0;0;0;0
HorseE;0;0;0;0;0;0;0;0;0;0
HorseF;0;0;0;0;0;0;0;0;0;0
HorseG;0;0;0;0;0;0;0;0;0;0
HorseH;0;0;0;0;0;0;0;0;0;0

